DATAFLOW,freq,indic_env,wst_oper,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_LNH,SE,2020,96.0,e
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,EU27_2020,2006,9613.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,EU27_2020,2008,7785.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,EU28,2004,8607.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,EU28,2006,10334.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,EU28,2008,8346.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,EU28,2012,,s
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,FI,2004,269.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,FI,2006,300.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,NO,2004,124.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,NO,2006,83.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,NO,2008,95.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,SE,2004,343.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,SE,2006,318.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_L_OTH,SE,2008,283.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,EU27_2020,2006,409.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,EU27_2020,2008,185.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,EU28,2004,315.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,EU28,2006,409.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,EU28,2008,185.0,
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,EU28,2012,,s
ESTAT:ENV_WASFAC(1.0),A,FAC,DSP_OTH,FI,2006,0.0,
