DATAFLOW,freq,waste,unit,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2020,64.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2012,61.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2013,58.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2014,60.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2015,59.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2016,56.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2017,53.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2018,60.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2019,66.2,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2020,71.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EE,2021,70.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2012,58.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2013,52.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2014,53.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2015,60.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2016,66.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2017,68.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2018,63.6,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EL,2019,60.1,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2012,65.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2013,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2014,68.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2015,68.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2016,70.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2017,68.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2018,68.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2019,69.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2020,68.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,ES,2021,70.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2012,65.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2013,65.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2014,66.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2015,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2016,67.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2017,67.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2018,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2019,64.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2020,64.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,EU27_2020,2021,64.0,s
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2012,59.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2013,58.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2014,57.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2015,60.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2016,64.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2017,65.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2018,70.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2019,70.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2020,73.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FI,2021,72.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2012,64.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2013,66.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2014,65.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2015,65.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2016,66.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2017,68.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2018,63.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2019,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2020,60.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,FR,2021,61.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2012,59.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2013,58.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2014,52.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2015,60.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2016,54.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2017,53.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2018,58.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2019,48.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2020,54.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HR,2021,50.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2012,48.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2013,49.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2014,48.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2015,50.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2016,49.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,HU,2017,49.7,
