,unit,year,value,value_name,location_name,location_type
554,%,2016,46.9,Recycling rate,Poland,country
555,%,2017,34.6,Recycling rate,Poland,country
556,%,2018,35.7,Recycling rate,Poland,country
557,%,2019,31.5,Recycling rate,Poland,country
558,%,2012,30.4,Recycling rate,Portugal,country
559,%,2013,35.3,Recycling rate,Portugal,country
560,%,2014,40.0,Recycling rate,Portugal,country
561,%,2015,43.0,Recycling rate,Portugal,country
562,%,2016,41.8,Recycling rate,Portugal,country
563,%,2017,34.9,Recycling rate,Portugal,country
564,%,2018,33.9,Recycling rate,Portugal,country
565,%,2019,35.6,Recycling rate,Portugal,country
566,%,2020,33.9,Recycling rate,Portugal,country
567,%,2021,38.1,Recycling rate,Portugal,country
568,%,2012,51.3,Recycling rate,Romania,country
569,%,2013,51.7,Recycling rate,Romania,country
570,%,2014,44.5,Recycling rate,Romania,country
571,%,2015,46.7,Recycling rate,Romania,country
572,%,2016,46.5,Recycling rate,Romania,country
573,%,2017,47.6,Recycling rate,Romania,country
574,%,2018,43.0,Recycling rate,Romania,country
575,%,2019,31.1,Recycling rate,Romania,country
576,%,2020,30.1,Recycling rate,Romania,country
577,%,2012,34.9,Recycling rate,Sweden,country
578,%,2013,45.6,Recycling rate,Sweden,country
579,%,2014,47.5,Recycling rate,Sweden,country
580,%,2015,49.0,Recycling rate,Sweden,country
581,%,2016,50.7,Recycling rate,Sweden,country
582,%,2017,48.4,Recycling rate,Sweden,country
583,%,2018,50.0,Recycling rate,Sweden,country
584,%,2019,53.2,Recycling rate,Sweden,country
585,%,2020,33.5,Recycling rate,Sweden,country
586,%,2021,23.8,Recycling rate,Sweden,country
587,%,2012,64.8,Recycling rate,Slovenia,country
588,%,2013,81.7,Recycling rate,Slovenia,country
589,%,2014,69.3,Recycling rate,Slovenia,country
590,%,2015,63.4,Recycling rate,Slovenia,country
591,%,2016,62.0,Recycling rate,Slovenia,country
592,%,2017,60.4,Recycling rate,Slovenia,country
593,%,2018,48.8,Recycling rate,Slovenia,country
594,%,2019,50.3,Recycling rate,Slovenia,country
595,%,2020,44.6,Recycling rate,Slovenia,country
596,%,2021,50.0,Recycling rate,Slovenia,country
597,%,2012,57.0,Recycling rate,Slovakia,country
598,%,2013,55.1,Recycling rate,Slovakia,country
599,%,2014,55.9,Recycling rate,Slovakia,country
600,%,2015,54.4,Recycling rate,Slovakia,country
601,%,2016,51.7,Recycling rate,Slovakia,country
602,%,2017,52.4,Recycling rate,Slovakia,country
603,%,2018,51.4,Recycling rate,Slovakia,country
604,%,2019,52.8,Recycling rate,Slovakia,country
605,%,2020,56.3,Recycling rate,Slovakia,country
606,%,2012,25.2,Recycling rate,United Kingdom,country
607,%,2013,31.6,Recycling rate,United Kingdom,country
608,%,2014,37.9,Recycling rate,United Kingdom,country
609,%,2015,39.4,Recycling rate,United Kingdom,country
610,%,2016,44.9,Recycling rate,United Kingdom,country
611,%,2017,46.2,Recycling rate,United Kingdom,country
612,%,2018,43.8,Recycling rate,United Kingdom,country
613,%,2019,55.4,Recycling rate,United Kingdom,country
614,%,2020,52.0,Recycling rate,United Kingdom,country
615,%,2021,53.1,Recycling rate,United Kingdom,country
