,unit,year,value,value_name,location_name,location_type
121,%,2018,63.5,Recycling rate,France,country
122,%,2019,65.6,Recycling rate,France,country
123,%,2020,60.3,Recycling rate,France,country
124,%,2021,61.8,Recycling rate,France,country
125,%,2012,59.7,Recycling rate,Croatia,country
126,%,2013,58.8,Recycling rate,Croatia,country
127,%,2014,52.7,Recycling rate,Croatia,country
128,%,2015,60.1,Recycling rate,Croatia,country
129,%,2016,54.7,Recycling rate,Croatia,country
130,%,2017,53.3,Recycling rate,Croatia,country
131,%,2018,58.4,Recycling rate,Croatia,country
132,%,2019,48.9,Recycling rate,Croatia,country
133,%,2020,54.2,Recycling rate,Croatia,country
134,%,2021,50.8,Recycling rate,Croatia,country
135,%,2012,48.5,Recycling rate,Hungary,country
136,%,2013,49.2,Recycling rate,Hungary,country
137,%,2014,48.4,Recycling rate,Hungary,country
138,%,2015,50.1,Recycling rate,Hungary,country
139,%,2016,49.7,Recycling rate,Hungary,country
140,%,2017,49.7,Recycling rate,Hungary,country
141,%,2018,46.1,Recycling rate,Hungary,country
142,%,2019,47.0,Recycling rate,Hungary,country
143,%,2020,52.4,Recycling rate,Hungary,country
144,%,2012,74.0,Recycling rate,Ireland,country
145,%,2013,70.2,Recycling rate,Ireland,country
146,%,2014,68.3,Recycling rate,Ireland,country
147,%,2015,67.5,Recycling rate,Ireland,country
148,%,2016,67.0,Recycling rate,Ireland,country
149,%,2017,65.6,Recycling rate,Ireland,country
150,%,2018,63.9,Recycling rate,Ireland,country
151,%,2019,62.5,Recycling rate,Ireland,country
152,%,2020,62.4,Recycling rate,Ireland,country
153,%,2021,58.1,Recycling rate,Ireland,country
154,%,2012,40.7,Recycling rate,Iceland,country
155,%,2013,42.9,Recycling rate,Iceland,country
156,%,2014,42.8,Recycling rate,Iceland,country
157,%,2015,47.4,Recycling rate,Iceland,country
158,%,2016,47.2,Recycling rate,Iceland,country
159,%,2017,44.4,Recycling rate,Iceland,country
160,%,2018,51.2,Recycling rate,Iceland,country
161,%,2019,46.3,Recycling rate,Iceland,country
162,%,2020,57.0,Recycling rate,Iceland,country
163,%,2021,49.8,Recycling rate,Iceland,country
164,%,2012,66.6,Recycling rate,Italy,country
165,%,2013,66.7,Recycling rate,Italy,country
166,%,2014,65.4,Recycling rate,Italy,country
167,%,2015,66.8,Recycling rate,Italy,country
168,%,2016,66.9,Recycling rate,Italy,country
169,%,2017,67.1,Recycling rate,Italy,country
170,%,2018,68.3,Recycling rate,Italy,country
171,%,2019,69.6,Recycling rate,Italy,country
172,%,2020,72.8,Recycling rate,Italy,country
173,%,2021,72.9,Recycling rate,Italy,country
174,%,2012,44.3,Recycling rate,Liechtenstein,country
175,%,2013,50.3,Recycling rate,Liechtenstein,country
176,%,2014,51.9,Recycling rate,Liechtenstein,country
177,%,2015,66.1,Recycling rate,Liechtenstein,country
178,%,2016,65.8,Recycling rate,Liechtenstein,country
179,%,2017,66.7,Recycling rate,Liechtenstein,country
180,%,2018,68.0,Recycling rate,Liechtenstein,country
181,%,2019,70.0,Recycling rate,Liechtenstein,country
182,%,2020,72.1,Recycling rate,Liechtenstein,country
183,%,2021,72.2,Recycling rate,Liechtenstein,country
184,%,2012,62.2,Recycling rate,Lithuania,country
185,%,2013,53.5,Recycling rate,Lithuania,country
186,%,2014,57.7,Recycling rate,Lithuania,country
187,%,2015,59.8,Recycling rate,Lithuania,country
188,%,2016,69.5,Recycling rate,Lithuania,country
189,%,2017,61.8,Recycling rate,Lithuania,country
190,%,2018,60.7,Recycling rate,Lithuania,country
191,%,2019,61.9,Recycling rate,Lithuania,country
192,%,2020,61.8,Recycling rate,Lithuania,country
193,%,2012,62.5,Recycling rate,Luxembourg,country
194,%,2013,62.8,Recycling rate,Luxembourg,country
195,%,2014,66.0,Recycling rate,Luxembourg,country
196,%,2015,70.0,Recycling rate,Luxembourg,country
197,%,2016,70.3,Recycling rate,Luxembourg,country
198,%,2017,69.7,Recycling rate,Luxembourg,country
199,%,2018,70.9,Recycling rate,Luxembourg,country
200,%,2019,71.5,Recycling rate,Luxembourg,country
201,%,2020,71.9,Recycling rate,Luxembourg,country
202,%,2021,73.7,Recycling rate,Luxembourg,country
203,%,2012,51.1,Recycling rate,Latvia,country
204,%,2013,51.0,Recycling rate,Latvia,country
205,%,2014,54.9,Recycling rate,Latvia,country
206,%,2015,53.9,Recycling rate,Latvia,country
207,%,2016,57.7,Recycling rate,Latvia,country
208,%,2017,58.7,Recycling rate,Latvia,country
209,%,2018,55.8,Recycling rate,Latvia,country
210,%,2019,62.4,Recycling rate,Latvia,country
211,%,2020,61.4,Recycling rate,Latvia,country
212,%,2021,61.0,Recycling rate,Latvia,country
213,%,2012,46.6,Recycling rate,Malta,country
214,%,2013,38.1,Recycling rate,Malta,country
215,%,2014,41.1,Recycling rate,Malta,country
216,%,2015,37.1,Recycling rate,Malta,country
217,%,2016,39.7,Recycling rate,Malta,country
218,%,2017,35.6,Recycling rate,Malta,country
219,%,2018,35.7,Recycling rate,Malta,country
220,%,2019,33.7,Recycling rate,Malta,country
221,%,2020,40.0,Recycling rate,Malta,country
222,%,2021,38.4,Recycling rate,Malta,country
223,%,2012,69.3,Recycling rate,Netherlands,country
224,%,2013,70.4,Recycling rate,Netherlands,country
225,%,2014,70.5,Recycling rate,Netherlands,country
226,%,2015,71.7,Recycling rate,Netherlands,country
227,%,2016,72.6,Recycling rate,Netherlands,country
228,%,2017,78.1,Recycling rate,Netherlands,country
229,%,2018,79.4,Recycling rate,Netherlands,country
230,%,2019,80.7,Recycling rate,Netherlands,country
231,%,2020,76.5,Recycling rate,Netherlands,country
232,%,2021,76.8,Recycling rate,Netherlands,country
233,%,2012,55.9,Recycling rate,Norway,country
234,%,2013,54.5,Recycling rate,Norway,country
235,%,2014,55.7,Recycling rate,Norway,country
236,%,2015,55.1,Recycling rate,Norway,country
237,%,2016,56.3,Recycling rate,Norway,country
238,%,2017,54.5,Recycling rate,Norway,country
239,%,2018,52.9,Recycling rate,Norway,country
240,%,2019,53.9,Recycling rate,Norway,country
241,%,2020,52.5,Recycling rate,Norway,country
242,%,2012,41.4,Recycling rate,Poland,country
243,%,2013,36.1,Recycling rate,Poland,country
244,%,2014,55.4,Recycling rate,Poland,country
245,%,2015,57.6,Recycling rate,Poland,country
246,%,2016,58.0,Recycling rate,Poland,country
247,%,2017,56.7,Recycling rate,Poland,country
248,%,2018,58.7,Recycling rate,Poland,country
249,%,2019,55.5,Recycling rate,Poland,country
250,%,2012,56.9,Recycling rate,Portugal,country
251,%,2013,61.5,Recycling rate,Portugal,country
252,%,2014,61.0,Recycling rate,Portugal,country
253,%,2015,57.1,Recycling rate,Portugal,country
254,%,2016,60.9,Recycling rate,Portugal,country
255,%,2017,55.3,Recycling rate,Portugal,country
256,%,2018,57.9,Recycling rate,Portugal,country
257,%,2019,62.8,Recycling rate,Portugal,country
258,%,2020,59.5,Recycling rate,Portugal,country
259,%,2021,63.1,Recycling rate,Portugal,country
260,%,2012,56.8,Recycling rate,Romania,country
261,%,2013,52.8,Recycling rate,Romania,country
262,%,2014,54.8,Recycling rate,Romania,country
263,%,2015,55.9,Recycling rate,Romania,country
264,%,2016,60.4,Recycling rate,Romania,country
265,%,2017,60.4,Recycling rate,Romania,country
266,%,2018,57.9,Recycling rate,Romania,country
267,%,2019,44.6,Recycling rate,Romania,country
268,%,2020,39.9,Recycling rate,Romania,country
269,%,2012,69.6,Recycling rate,Sweden,country
270,%,2013,71.9,Recycling rate,Sweden,country
271,%,2014,70.5,Recycling rate,Sweden,country
272,%,2015,71.8,Recycling rate,Sweden,country
273,%,2016,68.2,Recycling rate,Sweden,country
274,%,2017,71.7,Recycling rate,Sweden,country
275,%,2018,65.0,Recycling rate,Sweden,country
276,%,2019,63.6,Recycling rate,Sweden,country
277,%,2020,60.9,Recycling rate,Sweden,country
278,%,2021,59.6,Recycling rate,Sweden,country
279,%,2012,66.9,Recycling rate,Slovenia,country
280,%,2013,69.0,Recycling rate,Slovenia,country
281,%,2014,70.4,Recycling rate,Slovenia,country
282,%,2015,67.0,Recycling rate,Slovenia,country
283,%,2016,69.4,Recycling rate,Slovenia,country
284,%,2017,70.1,Recycling rate,Slovenia,country
285,%,2018,68.0,Recycling rate,Slovenia,country
286,%,2019,67.1,Recycling rate,Slovenia,country
287,%,2020,67.9,Recycling rate,Slovenia,country
