DATAFLOW,freq,unit,hazard,wst_oper,waste_cat,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ME,2012,8.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ME,2014,1.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ME,2016,2.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ME,2018,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,ME,2020,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MK,2008,20.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MK,2010,120.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MK,2012,149.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MK,2014,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MK,2018,1665.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MK,2020,1151.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2004,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2006,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2008,327.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2010,364.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2012,502.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2014,438.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2016,477.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2018,473.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,MT,2020,642.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2004,335925.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2006,299953.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2008,364120.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2010,493902.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2012,544584.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2014,331812.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2016,330102.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2018,394446.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NL,2020,298845.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,NO,2004,1405.0,
